"BehaviorSpace results (NetLogo 6.1.0)"
"COVID SIMULS.html"
"Lancet Paper NZ"
"04/13/2020 21:20:48:637 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-40","40"
"[run number]","Illness_period","Spatial_Distance","Compliance_with_Isolation","Total_Population","Available_Resources","Current_Cases","Media_Exposure","Hospital_Beds_in_Australia","ReInfectionRate","RestrictedMovement","Superspreaders","Severity_of_illness","Quarantine","ProductionRate","Incubation_Period","Case_Isolation","Initial","Track_and_Trace_Efficiency","PolicyTriggerOn","Proportion_People_Avoid","Population","Treatment_Benefit","FearTrigger","Speed","Triggerday","Proportion_time_Avoid","InfectionRate","Age_Isolation","Contact_Radius","Scale","Lockdown_Off","Freewheel","TimelockdownOff","Diffusion_Adjustment","[step]","count simuls with [ color = red ]","count simuls with [ color = 85 ]","count simuls with [color = black ]","count simuls with [ color = yellow ]","count simuls with [ color = black and agerange = 5 ]","count simuls with [ color = black and agerange = 15 ]","count simuls with [ color = black and agerange = 25 ]","count simuls with [ color = black and agerange = 35 ]","count simuls with [ color = black and agerange = 45 ]","count simuls with [ color = black and agerange = 55 ]","count simuls with [ color = black and agerange = 65 ]","count simuls with [ color = black and agerange = 75 ]","count simuls with [ color = black and agerange = 85 ]","count simuls with [ color = black and agerange = 95 ]","mean [ R ] of simuls with [ color = red and timenow = Illness_period ]","mean [ contacts ] of simuls / ticks","mean [ timenow ] of simuls with [ color = red ]","count simuls with [ color = red and timenow = Incubation_Period ]","sum [ reserves ] of simuls with [ color != black ]","scalePhase","numberInfected","deathcount","casefatalityrate","ICUBedsRequired","DailyCases","CurrentInfections","EliminationDate"
"2","15","false","95","500000","0","5000","50","13100","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","37","85","50","0","0","true","false","false","127","10","5","43","2457","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.45824","6.72093023255814","1","8122779.970548239","0","9","0","0","2","6","43","0"
"8","15","false","95","500000","0","5000","50","13100","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","37","85","50","0","0","true","false","false","127","10","5","44","2456","0","0","0","0","0","0","0","0","0","0","0","0","0","0.45519999999999994","7.386363636363637","0","8541386.651616247","0","10","0","0","2","7","44","0"
"5","15","false","95","500000","0","5000","50","13100","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","37","85","50","0","0","true","false","false","127","10","7","42","2458","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.4716","8.404761904761905","1","8590068.343122475","0","24","0","0","0","1","42","0"
"6","15","false","95","500000","0","5000","50","13100","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","37","85","50","0","0","true","false","false","127","10","6","39","2461","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.4672","8.564102564102564","1","8645110.438971594","0","20","0","0","0","3","39","0"
"7","15","false","95","500000","0","5000","50","13100","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","37","85","50","0","0","true","false","false","127","10","6","39","2461","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.4643333333333333","8.076923076923077","0","8340690.932636699","0","21","0","0","2","0","39","0"
"4","15","false","95","500000","0","5000","50","13100","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","37","85","50","0","0","true","false","false","127","10","6","45","2454","1","0","0","0","0","0","0","0","1","0","0","0","<RuntimePrimitiveException>","0.46446666666666664","7.222222222222222","2","8144837.67119778","0","18","1","0.05555555555555555","1","1","45","0"
"3","15","false","95","500000","0","5000","50","13100","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","37","85","50","0","0","true","false","false","127","10","6","33","2467","0","0","0","0","0","0","0","0","0","0","0","0","1","0.461","8.848484848484848","1","8388654.420306657","0","21","0","0","2","2","33","0"
"2","15","false","95","500000","0","5000","50","13100","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","37","85","50","0","0","true","false","false","127","10","6","48","2452","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.47026666666666667","7.041666666666667","5","8116357.532697472","0","20","0","0","2","0","48","0"
"8","15","false","95","500000","0","5000","50","13100","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","37","85","50","0","0","true","false","false","127","10","6","50","2450","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.4643333333333333","7.6","6","8536844.456084728","0","19","0","0","2","1","50","0"
"5","15","false","95","500000","0","5000","50","13100","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","37","85","50","0","0","true","false","false","127","10","8","48","2452","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.47615","8.395833333333334","2","8587182.759573467","0","26","0","0","0","2","48","0"
